26-04-2018,03:01:03PM,SystemID,SystemClock,BoardName,TelemDelay,TimeOut,Pwr,ADCS,Exp1,BoardName,DH,Exp,Ref,Panel_A,Panel_B,Base,Top_A,Top_B,BoardName,Sep,V_Batt,I_Batt,V_SA,I_SA,I_MB,V_5v,I_5v,V_3v,I_3v,S,T_Batt,T_SA1,T_SA2,BoardName,s_T,s_B,s0,s90,s180,s270,ya,sa,M_X,M_Y,M_Z,A_X,A_Y,A_Z,X,Y,rps_out,rps_cmd,PWM_out,alg,P,I,D,deltaT,db,g,sunA,e,hyst,Eccentricity,SemimajorAxis,Inclination,LongitudeOfAscendingNode,ArgumentOfPeriapsis,True Anomaly,Rotation Speed
26-04-2018,03:01:38PM,VCS2,20:1:36,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,36.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.000000,6762.600000,12.000000,2.000000,3.900000,114.000000,2.500000
26-04-2018,03:01:38PM,VCS3,20:1:36,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,35.840000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,6760.600000,10.000000,0.000000,1.900000,104.000000,2.960000
26-04-2018,03:01:38PM,VCS4,20:1:36,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,33.160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,6761.600000,11.000000,1.000000,2.900000,109.000000,2.040000
26-04-2018,03:01:38PM,VCS5,20:1:36,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,36.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.000000,6762.600000,12.000000,2.000000,3.900000,114.000000,2.500000
26-04-2018,03:01:40PM,ES0,20:1:40,I,4,1,1,1,0,T,29.800000,-4.700000,26.800000,-4.700000,-4.700000,-4.700000,-4.700000,-4.700000,P,0,8.000000,2.000000,0.000000,0.000000,126.000000,5.000000,119.000000,3.000000,3.000000,0,25.000000,23.000000,-4.000000,A,601,45,374,281,459,466,245.300000,0.000000,0.102000,-2.429000,4.175000,0.088000,-0.032000,0.920000,0,0,0.000000,0.000000,0,0,2.000000,0.100000,0.100000,1,10.000000,0.500000,30.000000,5.000000,4.000000,0.000000,6760.600000,0.000000,0.000000,0.000000,2.000000,3.050000
26-04-2018,03:01:42PM,VCS0,20:1:40,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,36.700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,6760.600000,10.000000,0.000000,1.900000,112.000000,3.050000
26-04-2018,03:01:42PM,VCS1,20:1:40,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,37.769400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,6761.600000,11.000000,1.000000,2.900000,121.000000,1.152350
26-04-2018,03:01:42PM,VCS2,20:1:40,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,44.133000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.000000,6762.600000,12.000000,2.000000,3.900000,130.000000,2.033250
26-04-2018,03:01:42PM,VCS3,20:1:40,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,44.819400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,6760.600000,10.000000,0.000000,1.900000,112.000000,2.244850
26-04-2018,03:01:42PM,VCS4,20:1:40,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,42.985800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,6761.600000,11.000000,1.000000,2.900000,121.000000,2.456450
26-04-2018,03:01:42PM,VCS5,20:1:40,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,44.133000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.000000,6762.600000,12.000000,2.000000,3.900000,130.000000,2.033250
26-04-2018,03:01:44PM,ES0,20:1:44,I,4,1,1,1,0,T,29.800000,-4.700000,26.800000,-4.700000,-4.700000,-4.700000,-4.700000,-4.700000,P,0,8.000000,2.000000,0.000000,0.000000,126.000000,4.000000,119.000000,3.000000,3.000000,0,25.000000,23.000000,-4.000000,A,599,45,373,280,484,473,240.100000,0.000000,0.102000,-2.399000,4.181000,0.092000,-0.028000,0.912000,0,0,0.000000,0.000000,0,0,2.000000,0.100000,0.100000,1,10.000000,0.500000,30.000000,5.000000,4.000000,0.000000,6760.600000,0.000000,0.000000,0.000000,3.000000,-1.300000
26-04-2018,03:01:46PM,VCS0,20:1:44,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,31.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,6760.600000,10.000000,0.000000,1.900000,120.000000,-1.300000
26-04-2018,03:01:46PM,VCS1,20:1:44,I,0,0,0,0,0,T,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,48.050652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000,6761.600000,11.000000,1.000000,2.900000,133.000000,2.570313
